elevation	oxygen	insanity	drinks	class	clique
1	5.15556061058305	93.0460600518025	42.406235908872	0	E	v
2	5.25113887619227	81.8226629690725	79.8069147402402	2	E	w
3	5.43433815939352	67.6835706935576	120.730901811718	0	E	x
4	5.73916311142966	88.3875274094285	100.61823947224	1	E	y
5	5.76527369325049	85.7484656673888	109.684131265411	5	E	z
6	5.91787662706338	96.7544336212479	187.419160749789	2	E	v
7	5.99945264752023	72.8312637528709	68.2706961601806	2	E	w
8	6.01907306583598	88.3094035378352	71.4498710429309	2	E	x
9	6.31951701361686	75.8622033027088	136.922796194365	2	E	y
10	7.04795286408626	92.5713162378451	229.36995321631	2	E	z
11	7.17770600691438	87.451214364828	220.68835541062	2	D	v
12	7.59860774502158	90.5124567460798	156.037267635116	3	D	w
13	8.14715993474238	80.1907679448967	172.43013331102	3	D	x
14	8.14863440580666	67.7973087297118	220.700944671279	5	D	y
15	8.29577286611311	83.7895833064869	173.807998849326	4	D	z
16	8.33370652399026	74.9506519440439	204.182524660288	1	D	v
17	8.81061376421712	60.3937178149105	103.580860376682	2	D	w
18	8.93417902640067	62.2294290945998	111.440530729551	0	D	x
19	9.62537262123078	80.1838244364336	283.492828909736	1	D	y
20	10.0750908709597	73.7022889926045	269.669021937112	3	D	z
21	11.0229560197331	68.4291895614306	280.968064178737	5	A	v
22	11.8141985847615	78.6226564744201	310.249579859096	4	A	w
23	11.9398517929949	68.3014033814777	276.360553627051	3	A	x
24	12.0084195467643	62.1990660157292	247.223929121261	3	A	y
25	12.1536534396	65.201769164424	271.252193306408	2	A	z
26	12.1778387855738	57.2710138243442	246.091796543224	4	A	v
27	13.5060312889982	66.2449345451175	276.185588083269	5	A	w
28	13.573924851371	68.3945511752233	412.69770183332	9	A	x
29	13.9715370419435	64.9813206966644	285.405026111515	10	A	y
30	14.2271291778889	70.5602300213664	453.701413239301	8	A	z
31	14.35598957818	65.6687162127021	337.069956217746	12	B	v
32	14.423278379254	60.2381801868155	408.325437419283	8	B	w
33	14.6317166101653	81.7807812609736	535.984875327798	10	B	x
34	14.6616003965028	59.3653510657693	358.659473844881	2	B	y
35	15.5891667341348	61.8592332120492	319.599360996623	4	B	z
36	15.8564751676749	49.1786104963357	302.982282426055	3	B	v
37	15.9025831578765	62.2974566679044	415.338928124275	15	B	w
38	15.9446823457256	65.3086816745839	376.143767779324	7	B	x
39	16.3347265124321	56.6184912823438	361.892280900878	6	B	y
40	16.4539345854428	73.8797426339823	634.369473189227	12	B	z
41	16.6812112554908	56.2975082959004	338.08166526964	2	C	v
42	17.8203810402192	75.5143920478436	556.031603908642	6	C	w
43	17.8538195008878	66.0364522992902	459.020240773018	7	C	x
44	18.205926559167	54.1147018883661	404.628077796877	3	C	y
45	18.6119873344433	54.362589199568	496.650369690428	3	C	z
46	18.7511394615285	40.7219630111712	373.473955978805	5	C	v
47	18.8263522763737	57.2503809363205	483.561625092347	9	C	w
48	19.2443961417302	50.9046229848353	389.532736446042	3	C	x
49	19.3296643870417	41.3283199151415	325.066918845906	2	C	y
50	19.7330819466151	48.8257788528492	442.489952890054	8	C	z
